date,Owners,Price,PriceChangeTo,discount,total_reviews,total_positive,total_negative,review_score
2015-04-20,107000,9.99,2.99,29.93,1335,1252,83,8
2015-04-27,111000,2.99,9.99,334.11,1382,1295,87,8
2015-06-11,114000,9.99,2.99,29.93,1509,1415,94,8
2015-06-22,118000,2.99,9.99,334.11,1550,1451,99,8
2015-10-26,128000,9.99,3.39,33.93,1753,1642,111,8
2015-11-02,127000,3.39,9.99,294.69,1764,1653,111,8
2015-12-22,128000,9.99,1.99,19.92,1843,1726,117,8
2016-01-05,136000,1.99,9.99,502.01,1888,1768,120,8
2016-02-05,138000,9.99,7.99,79.98,1967,1841,126,8
2016-02-12,133000,7.99,9.99,125.03,1989,1862,127,8
2016-05-16,135000,9.99,6.69,66.97,2120,1987,133,8
2016-05-24,136000,6.69,9.99,149.33,2126,1992,134,8
2016-06-23,138000,9.99,3.39,33.93,2161,2025,136,8
2016-07-04,138000,3.39,9.99,294.69,2188,2051,137,8
2016-10-24,156000,9.99,3.39,33.93,2294,2150,144,8
2016-10-30,150000,3.39,9.99,294.69,2303,2159,144,8
2016-12-22,152000,9.99,2.99,29.93,2519,2369,150,8
2017-01-02,160000,2.99,9.99,334.11,2556,2401,155,8
2017-05-22,155000,9.99,4.99,49.95,2736,2568,168,8
2017-05-29,158000,4.99,9.99,200.2,2747,2577,170,8
2017-06-22,158000,9.99,3.39,33.93,2771,2600,171,8
2017-07-05,161000,3.39,9.99,294.69,2805,2634,171,8
2017-09-18,167000,9.99,3.99,39.94,2886,2708,178,8
2017-09-25,171000,3.99,9.99,250.38,2894,2714,180,8
2017-10-26,166000,9.99,4.99,49.95,2938,2758,180,8
2017-11-01,170000,4.99,9.99,200.2,2944,2762,182,8
2017-11-23,161000,9.99,6.69,66.97,2981,2796,185,8
2017-11-28,162000,6.69,9.99,149.33,3027,2841,186,8
2017-12-21,172000,9.99,1.19,11.91,3055,2865,190,8
2018-01-04,177000,1.19,9.99,839.5,3107,2910,197,8
2018-02-15,167000,9.99,5.59,55.96,3159,2956,203,8
2018-02-19,172000,5.59,9.99,178.71,3166,2963,203,8
2018-04-02,170000,9.99,4.99,49.95,3213,3007,206,8
2018-04-09,172000,4.99,9.99,200.2,3220,3013,207,8
2018-06-20,145000,9.99,2.29,22.92,3267,3052,215,8
2018-07-05,149000,2.29,9.99,436.24,3294,3071,223,8
2018-10-22,159000,9.99,4.49,44.94,3375,3147,228,8
2018-10-29,148000,4.49,9.99,222.49,3380,3152,228,8
2018-11-21,148000,9.99,6.69,66.97,3397,3169,228,8
2018-11-27,150000,6.69,9.99,149.33,3420,3191,229,8
2018-12-20,160000,9.99,1.49,14.91,3430,3201,229,8
2019-01-03,162000,1.49,9.99,670.47,3451,3222,229,8
2019-02-25,153000,9.99,4.99,49.95,3509,3277,232,8
2019-03-04,162000,4.99,9.99,200.2,3514,3281,233,8
2019-06-25,150000,9.99,4.99,49.95,3603,3361,242,8
2019-07-08,152000,4.99,9.99,200.2,3644,3401,243,8
2019-09-16,153000,9.99,3.99,39.94,3690,3441,249,8
2019-09-23,153000,3.99,9.99,250.38,3695,3445,250,8
2019-10-27,154000,9.99,3.39,33.93,3712,3462,250,8
2019-11-01,154000,3.39,9.99,294.69,3716,3466,250,8
2019-11-26,160000,9.99,7.49,74.97,3738,3486,252,8
2019-12-03,160000,7.49,9.99,133.38,3748,3496,252,8
2019-12-19,155000,9.99,1.99,19.92,3762,3509,253,8
2020-01-02,156000,1.99,9.99,502.01,3786,3529,257,8
2020-01-23,141000,9.99,6.69,66.97,3816,3554,262,8
2020-01-27,139000,6.69,9.99,149.33,3819,3557,262,8
2020-03-30,143000,9.99,2.99,29.93,3875,3608,267,8
2020-04-06,139000,2.99,9.99,334.11,3881,3614,267,8
2020-06-25,215000,9.99,2.49,24.92,3963,3689,274,8
2020-07-09,216000,2.49,9.99,401.2,3991,3716,275,8
2020-08-24,239000,9.99,3.99,39.94,4043,3765,278,8
