date,Owners,Price,PriceChangeTo,discount
2015-05-11,370000,0.99,0.19,19.19
2015-05-20,393000,0.19,0.24,126.32
2015-05-25,397000,0.24,0.99,412.5
2015-06-11,414000,0.99,0.19,19.19
2015-06-22,435000,0.19,0.99,521.05
2015-07-27,455000,0.99,0.24,24.24
2015-08-07,466000,0.24,0.99,412.5
2015-09-28,468000,0.99,0.24,24.24
2015-10-05,474000,0.24,0.99,412.5
2015-11-25,489000,0.99,0.49,49.49
2015-12-01,486000,0.49,0.24,48.98
2015-12-07,492000,0.24,0.99,412.5
2015-12-22,495000,0.99,0.49,49.49
2016-01-04,505000,0.49,0.99,202.04
2016-02-05,535000,0.99,0.49,49.49
2016-02-12,519000,0.49,0.99,202.04
2016-02-29,506000,0.99,0.49,49.49
2016-03-07,518000,0.49,0.99,202.04
2016-05-03,528000,0.99,0.49,49.49
2016-05-10,524000,0.49,0.99,202.04
2016-06-23,535000,0.99,0.49,49.49
2016-07-04,535000,0.49,0.99,202.04
2016-09-05,525000,0.99,0.49,49.49
2016-09-12,533000,0.49,0.99,202.04
2016-11-07,565000,0.99,0.49,49.49
2016-11-14,556000,0.49,0.99,202.04
2016-11-23,563000,0.99,0.49,49.49
2016-11-29,551000,0.49,0.99,202.04
2016-12-22,561000,0.99,0.49,49.49
2017-01-02,563000,0.49,0.99,202.04
2017-01-30,578000,0.99,0.49,49.49
2017-02-06,572000,0.49,0.99,202.04
2017-04-10,573000,0.99,0.49,49.49
2017-04-17,587000,0.49,0.99,202.04
2017-06-22,567000,0.99,0.49,49.49
2017-07-05,579000,0.49,0.99,202.04
2017-07-10,588000,0.99,0.49,49.49
2017-07-17,577000,0.49,0.99,202.04
2017-09-18,588000,0.99,0.49,49.49
2017-09-25,606000,0.49,0.99,202.04
2017-10-26,589000,0.99,0.49,49.49
2017-11-01,593000,0.49,0.99,202.04
2017-11-21,599000,0.99,0.49,49.49
2017-11-28,591000,0.49,0.99,202.04
2017-12-21,572000,0.99,0.49,49.49
2018-01-04,597000,0.49,0.99,202.04
2018-02-15,570000,0.99,0.49,49.49
2018-02-19,575000,0.49,0.99,202.04
2018-02-25,576000,0.99,0.49,49.49
2018-03-05,572000,0.49,0.99,202.04
2018-04-30,513000,0.99,0.49,49.49
2018-05-07,522000,0.49,0.99,202.04
2018-06-20,522000,0.99,0.49,49.49
2018-07-05,522000,0.49,0.99,202.04
2018-07-09,521000,0.99,0.49,49.49
2018-07-16,526000,0.49,0.99,202.04
2018-09-10,495000,0.99,0.49,49.49
2018-09-17,494000,0.49,0.99,202.04
2018-10-29,492000,0.99,0.49,49.49
2018-11-01,492000,0.49,0.99,202.04
2018-11-21,492000,0.99,0.49,49.49
